,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LA,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
KR,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
TW,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
ID,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
AS,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
OP,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
RW,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
UE,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
SD,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
NG,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
SA,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
ON,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
OC,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
MY,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
KZ,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
AN,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
AC,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
AW,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
AE,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
ZA,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
EG,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
DC,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
KE,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
UA,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
PK,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
